time_seconds,time,speed,throttle,brake,steer,heart_rate,breathing_rate,GSR
1939,0:32:19,0.00,0.00,0.00,0.00,73.0,21.200000762939453,0
1939,0:32:19,0.00,0.00,0.00,0.00,74.0,21.200000762939453,0
1939,0:32:19,0.00,0.62,0.62,0.00,74.0,21.200000762939453,0
1939,0:32:19,0.01,0.62,0.62,0.00,71.0,21.200000762939453,0
1939,0:32:19,0.01,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.02,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.02,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,69.0,21.200000762939453,0
1939,0:32:19,0.03,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.03,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.03,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.03,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.02,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.02,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.02,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.02,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.02,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.01,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.01,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.01,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.01,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.01,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
1939,0:32:19,0.00,0.62,0.62,0.00,67.0,20.799999237060547,0
