time_seconds,time,speed,throttle,brake,steer,heart_rate,breathing_rate,GSR
536,0:08:56,0.00,0.00,0.00,0.00,0.0,16.399999618530273,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.600000381469727,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.600000381469727,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
536,0:08:56,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.01,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
537,0:08:57,0.00,0.62,0.62,0.00,0.0,16.399999618530273,0
