time_seconds,time,speed
1792,0:29:52,9
1792,0:29:52,7
1792,0:29:52,5
1792,0:29:52,5
1792,0:29:52,0
1792,0:29:52,0
1792,0:29:52,1
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,2
1792,0:29:52,1
1792,0:29:52,1
1792,0:29:52,1
1792,0:29:52,1
1792,0:29:52,1
1792,0:29:52,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,1
1793,0:29:53,1
1793,0:29:53,1
1793,0:29:53,1
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1793,0:29:53,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1794,0:29:54,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1795,0:29:55,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1796,0:29:56,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1797,0:29:57,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
1798,0:29:58,0
