time_seconds,time,speed,throttle,brake,steer,heart_rate,breathing_rate,GSR
240,0:04:00,0.00,0.00,0.00,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.01,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
240,0:04:00,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
241,0:04:01,0.00,0.62,0.62,0.00,0.0,nan,0
