time_seconds,time,speed
2427,0:40:27,9
2427,0:40:27,9
2427,0:40:27,11
2427,0:40:27,11
2427,0:40:27,11
2427,0:40:27,11
2427,0:40:27,11
2427,0:40:27,6
2427,0:40:27,6
2427,0:40:27,6
2428,0:40:28,2
2428,0:40:28,2
2428,0:40:28,2
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,1
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2428,0:40:28,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2429,0:40:29,0
2430,0:40:30,0
2431,0:40:31,0
2432,0:40:32,0
2432,0:40:32,0
2432,0:40:32,0
